 999  91  1995.1877441    479247 349457.69     -8.55     96.65     -9.65     -7.69     96.52     -8.78     -6.76
   0  92  1995.2149658    462415 332873.41     -4.65     89.80     -9.62     -3.77     89.62     -8.74     -6.55
   0  93  1995.2420654    462218 334142.81    -11.05     85.79     -9.93    -10.17     85.62     -9.05     -6.66
   0  94  1995.2692871    465074 336020.41    -11.90     85.04    -10.44    -11.01     84.86     -9.54     -6.90
   0  95  1995.2963867    465929 336419.09    -11.29     85.11    -10.93    -10.38     84.93    -10.03     -7.10
   0  96  1995.3236084    464377 334718.81    -10.74     83.19    -11.28     -9.83     83.03    -10.37     -7.12
 999  97  1995.3507080    474995 348289.00    -17.01     89.41    -11.63    -16.10     89.25    -10.71     -7.14
   0  98  1995.3779297    467508 337347.09    -13.50     81.84    -11.93    -12.57     81.68    -11.00     -7.14
   0  99  1995.4051514    463200 333563.09    -11.77     79.49    -12.11    -10.83     79.35    -11.17     -7.11
   0 100  1995.4322510    451220 326649.81    -10.06     82.44    -12.32     -9.11     82.34    -11.38     -7.25
   0 101  1995.4594727    469248 340436.81    -13.10     81.47    -12.60    -12.16     81.38    -11.66     -7.63
   0 102  1995.4865723    463898 338245.41    -14.70     81.52    -12.88    -13.76     81.39    -11.93     -8.21
 999 103  1995.5137939    467852 346535.81     -9.86     87.07    -12.70     -8.91     87.00    -11.75     -8.55
   0 104  1995.5408936    455957 333761.50    -13.07     80.48    -12.65    -12.11     80.41    -11.69     -9.22
   0 105  1995.5681152    458192 336889.50    -13.23     80.35    -11.95    -12.25     80.30    -10.98     -9.44
   0 106  1995.5952148    458854 338398.50    -12.63     80.00    -10.89    -11.64     79.92     -9.91     -9.44
   0 107  1995.6224365    451386 333408.69     -9.62     82.25     -9.22     -8.63     82.30     -8.23     -8.92
   0 108  1995.6495361    452593 333926.91     -8.77     81.28     -7.75     -7.78     81.33     -6.75     -8.61
   0 109  1995.6767578    445473 328861.19     -5.60     80.90     -6.05     -4.60     80.98     -5.05     -8.02
   0 110  1995.7039795    454160 334927.69     -3.97     82.54     -4.28     -2.96     82.67     -3.27     -7.23
   0 111  1995.7310791    453990 334669.31      1.95     83.08     -3.56      2.96     83.28     -2.54     -7.29
   0 112  1995.7583008    457983 336372.19     -2.45     84.24     -2.59     -1.42     84.39     -1.57     -6.87
   0 113  1995.7854004    457749 335946.81     -3.46     85.08     -2.53     -2.43     85.22     -1.50     -7.07
 999 114  1995.8126221    465447 346176.59     -8.97     89.88     -2.70     -7.94     89.97     -1.66     -7.22
   0 115  1995.8397217    457342 333340.41     -3.32     81.45     -2.86     -2.28     81.53     -1.81     -7.10
   0 116  1995.8669434    463768 337820.19     -3.48     81.95     -2.99     -2.42     82.04     -1.93     -6.71
   0 117  1995.8940430    406421 295960.41     -1.08     82.45     -3.29     -0.00     82.53     -2.22     -6.31
 999 118  1995.9212646      1250    897.60    -19.89     80.27     -3.96    -18.62     80.05     -2.88     -6.16
   0 119  1995.9483643    470329 339370.69     -5.73     82.22     -5.36     -4.64     82.23     -4.27     -6.67
   0 120  1995.9755859    466819 336730.59     -1.70     80.92     -6.64     -0.60     80.92     -5.54     -7.07
   0 121  1996.0028076    452302 325666.59     -8.26     81.83     -7.99     -7.16     81.70     -6.89     -7.61
   0 122  1996.0297852    463887 334740.69    -11.09     82.65     -9.36     -9.99     82.50     -8.25     -8.25
   0 123  1996.0568848    318757 228923.59    -13.44     82.58    -10.27    -12.32     82.37     -9.15     -8.56
   0 124  1996.0839844    470338 339745.41    -13.83     83.14    -10.18    -12.71     82.91     -9.06     -8.00
   0 125  1996.1110840    464510 335410.59     -7.07     84.59    -10.20     -5.94     84.40     -9.07     -7.65
 999 126  1996.1381836    480471 349589.50    -10.35     89.56     -9.68     -9.23     89.34     -8.54     -6.86
   0 127  1996.1652832    455623 328233.81     -7.54     83.79     -9.37     -6.39     83.58     -8.22     -6.35
   0 128  1996.1923828    469524 338942.69    -10.65     84.87     -9.36     -9.50     84.62     -8.20     -6.15
   0 129  1996.2194824    461974 332653.00     -9.14     85.20     -9.50     -7.97     84.93     -8.33     -6.11
   0 130  1996.2465820    470932 340020.50     -9.18     86.76     -9.61     -8.01     86.45     -8.44     -6.01
   0 131  1996.2736816    468450 336988.81    -10.41     84.78     -9.42     -9.22     84.50     -8.24     -5.55
